model_id,n_params,log_params,log_flops,gpu_model,gpu_model_enc,gpu_count,tdp_w,train_type,train_type_enc,task,task_enc,downloads,likes,energy_kwh,log_energy_kwh,source
FacebookAI/roberta-base,63000000.0,7.799340549453582,17.276461804173245,v100,6,1,300.0,fine-tune,0,fill-mask,5,13366741,613,0.03,-1.5228787452803376,huggingface
hexgrad/Kokoro-82M,82000000.0,7.913813852383717,17.390935107103378,a100,0,1,400.0,unknown,2,text-to-speech,18,13198222,6297,0.04000000000000001,-1.3979400086720375,huggingface
FacebookAI/roberta-large,63000000.0,7.799340549453582,17.276461804173245,v100,6,1,300.0,fine-tune,0,fill-mask,5,11996173,300,0.03,-1.5228787452803376,huggingface
facebook/opt-125m,175000000000.0,11.243038048686294,20.720159303405957,a100,0,1,400.0,fine-tune,0,text-generation,14,10311297,265,70.0,1.845098040014257,huggingface
meta-llama/Llama-3.1-8B-Instruct,8000000000.0,9.903089986991944,21.380211241711606,h100,1,1,700.0,pre-train,1,text-generation,14,10031112,6040,44.8,1.651278013998144,huggingface
meta-llama/Llama-3.2-1B-Instruct,1000000000.0,9.0,20.477121254719663,h100,1,1,700.0,pre-train,1,text-generation,14,7481230,1469,5.6,0.7481880270062004,huggingface
openai/gpt-oss-20b,20000000000.0,10.301029995663981,19.778151250383644,h100,1,1,700.0,fine-tune,0,text-generation,14,6752540,4693,14.0,1.146128035678238,huggingface
mixedbread-ai/mxbai-embed-large-v1,7000000000.0,9.845098040014257,21.32221929473392,l4,2,1,72.0,pre-train,1,feature-extraction,4,4752072,808,4.032,0.6055205234374689,huggingface
dphn/dolphin-2.9.1-yi-1.5-34b,34000000000.0,10.531478917042255,20.008600171761916,h100,1,1,700.0,fine-tune,0,text-generation,14,4364366,64,23.799999999999997,1.3765769570565118,huggingface
facebook/esm2_t33_650M_UR50D,15000000000.0,10.176091259055681,19.653212513775344,t4,5,1,70.0,unknown,2,fill-mask,5,4036193,80,1.05,0.021189299069938092,huggingface
openai/gpt-oss-120b,120000000000.0,11.079181246047625,20.556302500767288,h100,1,1,700.0,fine-tune,0,text-generation,14,4012993,4867,84.0,1.9242792860618816,huggingface
distilbert/distilgpt2,124000000.0,8.093421685162236,19.570542939881896,v100,6,1,300.0,pre-train,1,text-generation,14,3921317,630,0.2976,-0.5263670731261589,huggingface
answerdotai/ModernBERT-base,149000000.0,8.173186268412275,17.650307523131936,h100,1,1,700.0,fine-tune,0,fill-mask,5,3769832,1050,0.10429999999999999,-0.9817156915734692,huggingface
jinaai/jina-embeddings-v3,9000000000.0,9.954242509439325,21.431363764158988,a100,0,1,400.0,pre-train,1,feature-extraction,4,3461822,1144,28.8,1.4593924877592308,huggingface
moonshotai/Kimi-K2.6,6000000000.0,9.778151250383644,19.255272505103306,t4,5,1,70.0,unknown,2,image-text-to-text,7,2880537,1435,0.42000000000000004,-0.3767507096020995,huggingface
meta-llama/Llama-3.2-1B,1000000000.0,9.0,20.477121254719663,h100,1,1,700.0,pre-train,1,text-generation,14,2096885,2444,5.6,0.7481880270062004,huggingface
microsoft/Phi-3.5-vision-instruct,7000000000.0,9.845098040014257,21.32221929473392,a100,0,1,400.0,pre-train,1,image-text-to-text,7,2030029,737,22.400000000000002,1.3502480183341627,huggingface
TinyLlama/TinyLlama-1.1B-Chat-v1.0,627000000000.0,11.797267540830717,21.27438879555038,a100,0,1,400.0,fine-tune,0,text-generation,14,2029802,1615,200.0,2.3010299956639813,huggingface
datalab-to/chandra-ocr-2,8000000000.0,9.903089986991944,21.380211241711606,h100,1,1,700.0,pre-train,1,image-text-to-text,7,1984931,375,44.8,1.651278013998144,huggingface
nvidia/Gemma-4-31B-IT-NVFP4,31000000000.0,10.491361693834273,19.968482948553934,h100,1,1,700.0,unknown,2,text-generation,14,1937692,507,21.7,1.3364597338485296,huggingface
Qwen/Qwen3-14B-AWQ,14000000000.0,10.146128035678238,21.6232492903979,t4,5,1,70.0,pre-train,1,text-generation,14,1936664,65,7.840000000000001,0.8943160626844385,huggingface
ibm-granite/granite-embedding-small-english-r2,47000000000.0,10.672097857935718,22.14921911265538,h100,1,1,700.0,pre-train,1,feature-extraction,4,1838598,70,263.2,2.4202858849419178,huggingface
