log_params,gpu_count,tdp_w,batch_size,log_flops,log_tokens,precision,task,train_type,energy_kwh,log_energy_kwh,source,original_file,row_id
,72.0,1200.0,,,,unknown,training_benchmark,benchmark_training,1.81584,0.25907757866833125,mlperf,data/mlperf_power_clean.csv,0
,1152.0,1000.0,,,,unknown,training_benchmark,benchmark_training,240.2688,2.380697379345052,mlperf,data/mlperf_power_clean.csv,1
,2560.0,1000.0,,,,unknown,training_benchmark,benchmark_training,801.8773333333334,2.904107937447536,mlperf,data/mlperf_power_clean.csv,2
,5120.0,1000.0,,,,unknown,training_benchmark,benchmark_training,852.9066666666666,2.930901509046323,mlperf,data/mlperf_power_clean.csv,3
,8.0,1000.0,,,,unknown,training_benchmark,benchmark_training,1.2732,0.10489662994896554,mlperf,data/mlperf_power_clean.csv,4
,16.0,1000.0,,,,unknown,training_benchmark,benchmark_training,1.5517333333333334,0.19081708946569198,mlperf,data/mlperf_power_clean.csv,5
,32.0,1000.0,,,,unknown,training_benchmark,benchmark_training,1.6544,0.21864052141384852,mlperf,data/mlperf_power_clean.csv,6
,1024.0,700.0,,,,unknown,training_benchmark,benchmark_training,1444.81792,3.1598131195342507,mlperf,data/mlperf_power_clean.csv,8
,512.0,700.0,,,,unknown,training_benchmark,benchmark_training,1419.29984,3.152074153809501,mlperf,data/mlperf_power_clean.csv,9
,8.0,1000.0,,,,unknown,training_benchmark,benchmark_training,11.3112,1.0535086814712418,mlperf,data/mlperf_power_clean.csv,10
,16.0,1000.0,,,,unknown,training_benchmark,benchmark_training,46.35573333333333,1.6661034558708698,mlperf,data/mlperf_power_clean.csv,11
,64.0,1000.0,,,,unknown,training_benchmark,benchmark_training,19.473066666666668,1.289434350674383,mlperf,data/mlperf_power_clean.csv,12
,72.0,1000.0,,,,unknown,training_benchmark,benchmark_training,66.2688,1.8213091064278741,mlperf,data/mlperf_power_clean.csv,13
,8.0,1000.0,,,,unknown,training_benchmark,benchmark_training,0.3505333333333333,-0.4552706772853374,mlperf,data/mlperf_power_clean.csv,19
,8.0,700.0,,,,unknown,training_benchmark,benchmark_training,2.2053733333333336,0.3434821189205359,mlperf,data/mlperf_power_clean.csv,20
,16.0,700.0,,,,unknown,training_benchmark,benchmark_training,2.4044533333333336,0.3810163525171262,mlperf,data/mlperf_power_clean.csv,21
,128.0,700.0,,,,unknown,training_benchmark,benchmark_training,4.397866666666666,0.643242058401602,mlperf,data/mlperf_power_clean.csv,23
,64.0,700.0,,,,unknown,training_benchmark,benchmark_training,1.1640533333333334,0.06597287880334207,mlperf,data/mlperf_power_clean.csv,24
,64.0,1000.0,,,,unknown,training_benchmark,benchmark_training,20.116266666666668,1.3035473841120542,mlperf,data/mlperf_power_clean.csv,25
,8.0,1000.0,,,,unknown,training_benchmark,benchmark_training,0.3386666666666666,-0.47022754677176204,mlperf,data/mlperf_power_clean.csv,27
,8.0,700.0,,,,unknown,training_benchmark,benchmark_training,0.6967333333333333,-0.156933411316399,mlperf,data/mlperf_power_clean.csv,28
,8.0,700.0,,,,unknown,training_benchmark,benchmark_training,0.3492533333333333,-0.45685944021345215,mlperf,data/mlperf_power_clean.csv,29
,8.0,1000.0,,,,unknown,training_benchmark,benchmark_training,0.3438666666666667,-0.4636099212537625,mlperf,data/mlperf_power_clean.csv,30
,8.0,1000.0,,,,unknown,training_benchmark,benchmark_training,0.6862666666666667,-0.16350709514153047,mlperf,data/mlperf_power_clean.csv,31
,16.0,1000.0,,,,unknown,training_benchmark,benchmark_training,0.6362666666666666,-0.1963608283933958,mlperf,data/mlperf_power_clean.csv,34
,16.0,1000.0,,,,unknown,training_benchmark,benchmark_training,0.624,-0.20481541031757602,mlperf,data/mlperf_power_clean.csv,35
,8.0,1000.0,,,,unknown,training_benchmark,benchmark_training,0.6708,-0.17340694606595192,mlperf,data/mlperf_power_clean.csv,36
,8.0,1000.0,,,,unknown,training_benchmark,benchmark_training,0.3082666666666666,-0.5110734336432087,mlperf,data/mlperf_power_clean.csv,37
,8.0,1000.0,,,,unknown,training_benchmark,benchmark_training,1.3001333333333334,0.11398789304652028,mlperf,data/mlperf_power_clean.csv,38
,64.0,700.0,,,,unknown,training_benchmark,benchmark_training,28.188906666666664,1.4500782316771443,mlperf,data/mlperf_power_clean.csv,40
,16.0,700.0,,,,unknown,training_benchmark,benchmark_training,2.324746666666667,0.3663756336719192,mlperf,data/mlperf_power_clean.csv,43
,32.0,700.0,,,,unknown,training_benchmark,benchmark_training,2.5487466666666667,0.4063266708021966,mlperf,data/mlperf_power_clean.csv,44
,64.0,700.0,,,,unknown,training_benchmark,benchmark_training,3.2928,0.517565353082339,mlperf,data/mlperf_power_clean.csv,45
,8.0,1000.0,,,,unknown,training_benchmark,benchmark_training,0.3144,-0.5025174626326298,mlperf,data/mlperf_power_clean.csv,46
,8.0,1000.0,,,,unknown,training_benchmark,benchmark_training,0.3093333333333333,-0.5095732785008005,mlperf,data/mlperf_power_clean.csv,48
,72.0,1200.0,,,,unknown,training_benchmark,benchmark_training,1.7611199999999998,0.24578894913153507,mlperf,data/mlperf_power_clean.csv,54
,8.0,1200.0,,,,unknown,training_benchmark,benchmark_training,0.95536,-0.019832946162295365,mlperf,data/mlperf_power_clean.csv,55
,16.0,1200.0,,,,unknown,training_benchmark,benchmark_training,46.8032,1.6702755474081346,mlperf,data/mlperf_power_clean.csv,56
,512.0,1200.0,,,,unknown,training_benchmark,benchmark_training,4.126720000000001,0.6156050027809215,mlperf,data/mlperf_power_clean.csv,57
,64.0,1000.0,,,,unknown,training_benchmark,benchmark_training,0.8213333333333334,-0.08548055122727458,mlperf,data/mlperf_power_clean.csv,58
,72.0,1000.0,,,,unknown,training_benchmark,benchmark_training,1.3368000000000002,0.126066436885335,mlperf,data/mlperf_power_clean.csv,59
