public_id,model_name,model_family,task,train_type,organization,system_name,gpu_model,gpu_count,tdp_w,duration_minutes,duration_seconds,energy_kwh,co2_kg,source,label_quality,original_file,cpu_model,n_params,batch_size,precision,dataset_name,model_id,log_params,log_flops,gpu_model_enc,train_type_enc,task_enc,downloads,likes,log_energy_kwh,estimated_tokens,estimated_flops
5.1-0001,Lambda_GB300_n18,mlperf_training_benchmark,training_benchmark,benchmark_training,Lambda,Lambda_GB300_n18,NVIDIA Blackwell Ultra GPU (GB300),72.0,1200.0,1.261,75.66,1.81584,,mlperf,estimated_from_mlperf_latency,data/mlperf_power_clean.csv,,,,,,,,,,,,,,,,
5.1-0002,Tyche-hsg (18x NVIDIA GB200 NVL72),mlperf_training_benchmark,training_benchmark,benchmark_training,NVIDIA,Tyche-hsg (18x NVIDIA GB200 NVL72),NVIDIA Blackwell GPU (GB200),1152.0,1000.0,12.514,750.8399999999999,240.2688,,mlperf,estimated_from_mlperf_latency,data/mlperf_power_clean.csv,,,,,,,,,,,,,,,,
5.1-0003,Tyche-hsg (40x NVIDIA GB200 NVL72),mlperf_training_benchmark,training_benchmark,benchmark_training,NVIDIA,Tyche-hsg (40x NVIDIA GB200 NVL72),NVIDIA Blackwell GPU (GB200),2560.0,1000.0,18.794,1127.64,801.8773333333334,,mlperf,estimated_from_mlperf_latency,data/mlperf_power_clean.csv,,,,,,,,,,,,,,,,
5.1-0004,Tyche-hsg (80x NVIDIA GB200 NVL72),mlperf_training_benchmark,training_benchmark,benchmark_training,NVIDIA,Tyche-hsg (80x NVIDIA GB200 NVL72),NVIDIA Blackwell GPU (GB200),5120.0,1000.0,9.995,599.6999999999999,852.9066666666666,,mlperf,estimated_from_mlperf_latency,data/mlperf_power_clean.csv,,,,,,,,,,,,,,,,
5.1-0005,Nebius B200 n1 (8x B200-SXM-180GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius B200 n1 (8x B200-SXM-180GB),NVIDIA Blackwell GPU (B200-SXM-180GB),8.0,1000.0,9.549,572.9399999999999,1.2732,,mlperf,estimated_from_mlperf_latency,data/mlperf_power_clean.csv,,,,,,,,,,,,,,,,
5.1-0006,Nebius B200 n2 (16x B200-SXM-180GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius B200 n2 (16x B200-SXM-180GB),NVIDIA Blackwell GPU (B200-SXM-180GB),16.0,1000.0,5.819,349.14,1.5517333333333334,,mlperf,estimated_from_mlperf_latency,data/mlperf_power_clean.csv,,,,,,,,,,,,,,,,
5.1-0007,Nebius B200 n4 (32x B200-SXM-180GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius B200 n4 (32x B200-SXM-180GB),NVIDIA Blackwell GPU (B200-SXM-180GB),32.0,1000.0,3.102,186.12,1.6544,,mlperf,estimated_from_mlperf_latency,data/mlperf_power_clean.csv,,,,,,,,,,,,,,,,
5.1-0008,Nebius B300 n1 (8x B300-SXM-270GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius B300 n1 (8x B300-SXM-270GB),NVIDIA Blackwell Ultra GPU (B300-SXM-270GB),8.0,,8.476,508.56000000000006,,,mlperf,estimated_from_mlperf_latency,data/mlperf_power_clean.csv,,,,,,,,,,,,,,,,
5.1-0009,Nebius H200 n128 (1024x H200-SXM-141GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius H200 n128 (1024x H200-SXM-141GB),NVIDIA H200-SXM5-141GB,1024.0,700.0,120.939,7256.339999999999,1444.81792,,mlperf,estimated_from_mlperf_latency,data/mlperf_power_clean.csv,,,,,,,,,,,,,,,,
5.1-0010,Nebius H200 n64 (512x H200-SXM-141GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius H200 n64 (512x H200-SXM-141GB),NVIDIA H200-SXM5-141GB,512.0,700.0,237.606,14256.36,1419.29984,,mlperf,estimated_from_mlperf_latency,data/mlperf_power_clean.csv,,,,,,,,,,,,,,,,
