public_id,model_name,model_family,task,train_type,organization,system_name,gpu_model,gpu_count,tdp_w,duration_minutes,duration_seconds,energy_kwh,co2_kg,source,label_quality
5.1-0001,Lambda_GB300_n18,mlperf_training_benchmark,training_benchmark,benchmark_training,Lambda,Lambda_GB300_n18,NVIDIA Blackwell Ultra GPU (GB300),72.0,1200.0,1.261,75.66,1.81584,,mlperf,estimated_from_mlperf_latency
5.1-0002,Tyche-hsg (18x NVIDIA GB200 NVL72),mlperf_training_benchmark,training_benchmark,benchmark_training,NVIDIA,Tyche-hsg (18x NVIDIA GB200 NVL72),NVIDIA Blackwell GPU (GB200),1152.0,1000.0,12.514,750.8399999999999,240.2688,,mlperf,estimated_from_mlperf_latency
5.1-0003,Tyche-hsg (40x NVIDIA GB200 NVL72),mlperf_training_benchmark,training_benchmark,benchmark_training,NVIDIA,Tyche-hsg (40x NVIDIA GB200 NVL72),NVIDIA Blackwell GPU (GB200),2560.0,1000.0,18.794,1127.64,801.8773333333334,,mlperf,estimated_from_mlperf_latency
5.1-0004,Tyche-hsg (80x NVIDIA GB200 NVL72),mlperf_training_benchmark,training_benchmark,benchmark_training,NVIDIA,Tyche-hsg (80x NVIDIA GB200 NVL72),NVIDIA Blackwell GPU (GB200),5120.0,1000.0,9.995,599.6999999999999,852.9066666666666,,mlperf,estimated_from_mlperf_latency
5.1-0005,Nebius B200 n1 (8x B200-SXM-180GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius B200 n1 (8x B200-SXM-180GB),NVIDIA Blackwell GPU (B200-SXM-180GB),8.0,1000.0,9.549,572.9399999999999,1.2731999999999999,,mlperf,estimated_from_mlperf_latency
5.1-0006,Nebius B200 n2 (16x B200-SXM-180GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius B200 n2 (16x B200-SXM-180GB),NVIDIA Blackwell GPU (B200-SXM-180GB),16.0,1000.0,5.819,349.14,1.5517333333333334,,mlperf,estimated_from_mlperf_latency
5.1-0007,Nebius B200 n4 (32x B200-SXM-180GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius B200 n4 (32x B200-SXM-180GB),NVIDIA Blackwell GPU (B200-SXM-180GB),32.0,1000.0,3.102,186.12,1.6543999999999999,,mlperf,estimated_from_mlperf_latency
5.1-0008,Nebius B300 n1 (8x B300-SXM-270GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius B300 n1 (8x B300-SXM-270GB),NVIDIA Blackwell Ultra GPU (B300-SXM-270GB),8.0,,8.476,508.56000000000006,,,mlperf,estimated_from_mlperf_latency
5.1-0009,Nebius H200 n128 (1024x H200-SXM-141GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius H200 n128 (1024x H200-SXM-141GB),NVIDIA H200-SXM5-141GB,1024.0,700.0,120.939,7256.339999999999,1444.81792,,mlperf,estimated_from_mlperf_latency
5.1-0010,Nebius H200 n64 (512x H200-SXM-141GB),mlperf_training_benchmark,training_benchmark,benchmark_training,Nebius,Nebius H200 n64 (512x H200-SXM-141GB),NVIDIA H200-SXM5-141GB,512.0,700.0,237.606,14256.36,1419.29984,,mlperf,estimated_from_mlperf_latency
5.1-0011,BM.GPU.B200.8,mlperf_training_benchmark,training_benchmark,benchmark_training,Oracle,BM.GPU.B200.8,NVIDIA Blackwell GPU (B200-SXM-180GB),8.0,1000.0,84.834,5090.04,11.311200000000001,,mlperf,estimated_from_mlperf_latency
5.1-0012,BM.GPU.B200.8,mlperf_training_benchmark,training_benchmark,benchmark_training,Oracle,BM.GPU.B200.8,NVIDIA Blackwell GPU (B200-SXM-180GB),16.0,1000.0,173.834,10430.04,46.35573333333333,,mlperf,estimated_from_mlperf_latency
5.1-0013,BM.GPU.B200.8,mlperf_training_benchmark,training_benchmark,benchmark_training,Oracle,BM.GPU.B200.8,NVIDIA Blackwell GPU (B200-SXM-180GB),64.0,1000.0,18.256,1095.3600000000001,19.473066666666668,,mlperf,estimated_from_mlperf_latency
5.1-0014,BM.GPU.B200.8,mlperf_training_benchmark,training_benchmark,benchmark_training,Oracle,BM.GPU.B200.8,NVIDIA Blackwell GPU (B200-SXM-180GB),72.0,1000.0,55.224,3313.4399999999996,66.2688,,mlperf,estimated_from_mlperf_latency
5.1-0015,QuantaGrid325X (D74A-7U),mlperf_training_benchmark,training_benchmark,benchmark_training,AMD,QuantaGrid325X (D74A-7U),AMD Instinct MI325X 256GB HBM3E,8.0,,21.049,1262.94,,,mlperf,estimated_from_mlperf_latency
5.1-0016,SMCI300X (AS -8125GS-TNMR2),mlperf_training_benchmark,training_benchmark,benchmark_training,AMD,SMCI300X (AS -8125GS-TNMR2),AMD Instinct MI300X 192GB HBM3,8.0,,27.969,1678.14,,,mlperf,estimated_from_mlperf_latency
