model_name,model_family,task,train_type,n_params,gpu_model,gpu_count,tdp_w,batch_size,precision,estimated_tokens,estimated_flops,duration_seconds,energy_kwh,co2_kg,source,label_quality
synthetic_model,transformer,image-classification,fine-tune,70000000000,V100,1,300,256,fp16,100000000,42000000000000000000,150.8608000624166,0.01843012299332613,0.01030603429551497,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,fine-tune,125000000,V100,64,300,8,fp32,100000000,75000000000000000,36.0,0.2261777894824739,0.06640505536510748,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,benchmark_training,13000000000,T4,256,70,16,bf16,1000000000,78000000000000000000,36.0,0.19896437068890394,0.15557937615400824,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,benchmark_training,760000000,GB300,16,1200,512,fp32,1000000000,4560000000000000000,36.0,0.29111449351684054,0.09531189429872174,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,fine-tune,2700000000,H200,4,700,16,fp16,1000000000,16200000000000000000,36.0,0.035059391401433534,0.018050462956495244,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,benchmark_training,125000000,B200,32,1000,128,fp16,1000000000,750000000000000000,36.0,0.4211112029827385,0.15780615274000334,synthetic,simulated_physics_based
synthetic_model,transformer,translation,benchmark_training,13000000000,V100,64,300,8,bf16,500000000,39000000000000000000,36.0,0.23924588625938095,0.10043951558612803,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,pre-train,34000000000,H100,2,700,8,bf16,10000000000,2040000000000000000000,1583.271295032608,0.8176932095905506,0.5487584730969899,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,pre-train,760000000,V100,64,300,32,fp16,30000000000,136800000000000000000,36.0,0.2680717986107561,0.06108558713258826,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,benchmark_training,2700000000,B200,8,1000,256,fp16,50000000,810000000000000000,36.0,0.11230179407605753,0.03395045782920974,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,pre-train,34000000000,A100,256,400,256,fp32,100000000000,20400000000000000000000,261.02876637443137,10.707452996933133,4.969237882306439,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,fine-tune,1300000000,H100,32,700,512,fp32,500000000,3900000000000000000,36.0,0.2600682823026153,0.12928154152965582,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,pre-train,6700000000,H200,2,700,16,bf16,30000000000,1206000000000000000000,948.3588622196268,0.4631673391225588,0.23716058074350851,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,pre-train,70000000000,GB300,64,1200,256,fp16,30000000000,12600000000000000000000,125.44112955019874,3.675204693204938,1.1426677161453438,synthetic,simulated_physics_based
synthetic_model,transformer,translation,fine-tune,760000000,H200,64,700,128,fp16,100000000,456000000000000000,36.0,0.5126223204596301,0.1628035779140996,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,fine-tune,13000000000,GB300,2,1200,512,fp32,100000000,7800000000000000000,36.0,0.026942727466926455,0.010647717356473095,synthetic,simulated_physics_based
synthetic_model,transformer,question-answering,pre-train,70000000000,GB200,2,1000,64,fp16,50000000000,21000000000000000000000,7648.362881800338,6.434689873253897,2.6642961857657066,synthetic,simulated_physics_based
synthetic_model,transformer,translation,benchmark_training,13000000000,T4,2,70,256,bf16,500000000,39000000000000000000,109.58507084980648,0.005286426911457641,0.0027786392895417797,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,benchmark_training,125000000,H200,64,700,16,fp16,500000000,375000000000000000,36.0,0.5094993441842687,0.4035908170260451,synthetic,simulated_physics_based
synthetic_model,transformer,translation,benchmark_training,13000000000,A100,256,400,8,bf16,100000000,7800000000000000000,36.0,1.5217893218798886,0.4857999057252506,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,benchmark_training,355000000,B200,4,1000,128,bf16,500000000,1065000000000000000,36.0,0.059425406933718915,0.014525161523082072,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,fine-tune,7000000000,T4,2,70,32,fp16,100000000,4200000000000000000,36.0,0.0017909260099809913,0.00048269294946955263,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,benchmark_training,34000000000,V100,2,300,256,fp16,100000000,20400000000000000000,36.0,0.007592694074557948,0.001808086280674812,synthetic,simulated_physics_based
synthetic_model,transformer,question-answering,benchmark_training,355000000,GB300,256,1200,16,fp16,1000000000,2130000000000000000,36.0,3.8568688461552574,1.5238874236395914,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,pre-train,760000000,H100,16,700,64,bf16,100000000000,456000000000000000000,47.39608275567805,0.2276116743157155,0.11001131271493204,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,pre-train,13000000000,GB300,2,1200,16,fp32,10000000000,780000000000000000000,563.2080500056718,0.43547138401976254,0.27345289358607977,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,benchmark_training,34000000000,H100,8,700,8,fp32,50000000,10200000000000000000,36.0,0.08318708103872773,0.04128386478254443,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,benchmark_training,760000000,V100,1,300,512,fp16,100000000,456000000000000000,36.0,0.004084099244072992,0.0018644918187476084,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,benchmark_training,1300000000,GB300,8,1200,128,fp32,1000000000,7800000000000000000,36.0,0.12068908709166369,0.06096517688127939,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,benchmark_training,760000000,GB300,64,1200,16,fp32,1000000000,4560000000000000000,36.0,1.19330552598762,0.41715018197499876,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,benchmark_training,2700000000,GB200,64,1000,64,bf16,50000000,810000000000000000,36.0,0.7772154129573192,0.1913410660356654,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,fine-tune,82000000,GB200,32,1000,512,fp32,100000000,49200000000000000,36.0,0.39836023246620295,0.11820653617464402,synthetic,simulated_physics_based
synthetic_model,transformer,translation,pre-train,13000000000,GB300,4,1200,64,fp32,30000000000,2340000000000000000000,798.3918429940284,1.5987381901501232,0.4987136449978224,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,benchmark_training,125000000,GB300,256,1200,8,fp32,50000000,37500000000000000,36.0,4.750170621680606,2.487214727883569,synthetic,simulated_physics_based
synthetic_model,transformer,summarization,fine-tune,125000000,H100,4,700,64,fp16,1000000000,750000000000000000,36.0,0.033991092275587186,0.015508934608007677,synthetic,simulated_physics_based
synthetic_model,transformer,translation,pre-train,82000000,A100,64,400,8,fp16,50000000000,24600000000000000000,36.0,0.38630589003807914,0.27676435443631786,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,fine-tune,6700000000,GB300,4,1200,16,fp16,50000000,2010000000000000000,36.0,0.0628178640755707,0.020934975764077917,synthetic,simulated_physics_based
synthetic_model,transformer,question-answering,benchmark_training,2700000000,T4,1,70,128,fp16,100000000,1620000000000000000,36.0,0.0008119528785667892,0.00032686714187475527,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,benchmark_training,82000000,V100,4,300,8,bf16,100000000,49200000000000000,36.0,0.0163127437304602,0.010143449614559224,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,benchmark_training,6700000000,V100,8,300,128,bf16,50000000,2010000000000000000,36.0,0.03076355522855153,0.02408999410885217,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,pre-train,6700000000,B200,16,1000,16,bf16,30000000000,1206000000000000000000,61.48902283022887,0.3395342530850074,0.07542147988816585,synthetic,simulated_physics_based
synthetic_model,transformer,translation,pre-train,1300000000,GB200,4,1000,256,bf16,50000000000,390000000000000000000,97.88913244812764,0.1527921195613854,0.07664165996318786,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,fine-tune,125000000,T4,128,70,128,bf16,100000000,75000000000000000,36.0,0.10505129026968682,0.05186084444986799,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,pre-train,13000000000,H200,4,700,32,fp32,50000000000,3900000000000000000000,2038.2025976325815,2.5250559563901933,0.8717330543414946,synthetic,simulated_physics_based
synthetic_model,transformer,question-answering,benchmark_training,355000000,GB300,256,1200,256,fp16,50000000,106500000000000000,36.0,3.7442112675723265,2.3847997681362068,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,fine-tune,70000000000,H200,2,700,16,fp16,100000000,42000000000000000000,36.0,0.017974481929034773,0.010414118221183526,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,benchmark_training,1300000000,H200,8,700,256,fp16,500000000,3900000000000000000,36.0,0.06412811356152344,0.044965446689527046,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,benchmark_training,13000000000,GB300,16,1200,512,fp32,1000000000,78000000000000000000,36.0,0.24199488623728663,0.07548089267067387,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,pre-train,1300000000,T4,1,70,32,fp32,30000000000,234000000000000000000,2137.4798662311855,0.05979882112577206,0.01255492379410748,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,benchmark_training,7000000000,GB200,256,1000,8,fp32,100000000,4200000000000000000,36.0,3.47147911462308,1.1660610348146196,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,pre-train,13000000000,T4,32,70,128,bf16,30000000000,2340000000000000000000,387.2789936824207,0.34831983138115546,0.15048852064375268,synthetic,simulated_physics_based
synthetic_model,transformer,translation,fine-tune,82000000,H200,32,700,512,fp32,100000000,49200000000000000,36.0,0.3513137587385143,0.09925055162362177,synthetic,simulated_physics_based
synthetic_model,transformer,summarization,benchmark_training,70000000000,V100,32,300,512,bf16,100000000,42000000000000000000,36.0,0.14998529367737104,0.10894985907841095,synthetic,simulated_physics_based
synthetic_model,transformer,image-classification,benchmark_training,760000000,A100,4,400,64,fp32,500000000,2280000000000000000,36.0,0.019663533021721247,0.011719277454145615,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,pre-train,6700000000,H100,16,700,16,bf16,10000000000,402000000000000000000,38.514849331717095,0.1635387922834027,0.056439097395580985,synthetic,simulated_physics_based
synthetic_model,transformer,translation,pre-train,7000000000,H100,8,700,512,fp16,30000000000,1260000000000000000000,259.30124665506963,0.46247009386686916,0.34145529225307936,synthetic,simulated_physics_based
synthetic_model,transformer,translation,fine-tune,760000000,T4,8,70,64,fp16,500000000,2280000000000000000,36.0,0.007109283414936364,0.0029114345852657366,synthetic,simulated_physics_based
synthetic_model,transformer,text-generation,pre-train,2700000000,GB200,256,1000,32,fp32,30000000000,486000000000000000000,36.0,3.745223268953907,2.76497158602579,synthetic,simulated_physics_based
synthetic_model,transformer,summarization,pre-train,34000000000,H200,1,700,8,bf16,50000000000,10200000000000000000000,14816.555685440862,4.093942236322378,1.025466941138026,synthetic,simulated_physics_based
synthetic_model,transformer,translation,fine-tune,6700000000,V100,64,300,128,fp32,1000000000,40200000000000000000,36.0,0.22671635655308298,0.16757343038363948,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,pre-train,82000000,H100,32,700,64,fp32,50000000000,24600000000000000000,36.0,0.24696689739077654,0.07322193879857698,synthetic,simulated_physics_based
synthetic_model,transformer,training_benchmark,pre-train,70000000000,V100,16,300,128,fp16,50000000000,21000000000000000000000,3917.3674730113967,7.178533558954684,4.415782449340888,synthetic,simulated_physics_based
synthetic_model,transformer,summarization,benchmark_training,6700000000,H200,256,700,16,fp32,1000000000,40200000000000000000,36.0,2.609312582327392,0.8932967339561342,synthetic,simulated_physics_based
