version,evaluation,n,r2_log10,rmse_log10,mae_kwh,r2_kwh,interval_coverage
duration_ablation,synthetic_holdout,2400,0.9953123187158671,0.05954629193388759,0.1219055843777049,0.9509237458870717,
v2_no_duration,synthetic_holdout,2400,0.9940134578621412,0.0672920417968432,0.13053446661211288,0.9426541890280963,0.8820833333333333
median_baseline,synthetic_holdout,2400,-0.00786431892837225,0.8731255947353228,0.83749140728876,-0.10591532431075779,
v2_no_duration,external_all,235,-2.357153998190874,1.8842805062163765,44.89840058992171,-0.06252926549732107,0.02127659574468085
median_baseline,external_all,235,-1.4215389646471035,1.6003156568158505,45.16314636842347,-0.06882863801847483,
v2_no_duration,codecarbon,1,,3.243129801250034,0.01031399182744926,,0.0
median_baseline,codecarbon,1,,4.576610728398444,0.22240491919876013,,
v2_no_duration,huggingface,168,-3.813469996313133,2.082675963640128,25.441697650857535,-0.17073782376620117,0.0
median_baseline,huggingface,168,-1.7748974800567794,1.5813064469643452,25.528603088010392,-0.19042786302039438,
v2_no_duration,mlperf,66,-0.5050518113327829,1.2006695717031408,95.104676049935,-0.09329069650165067,0.07575757575757576
median_baseline,mlperf,66,-1.5436338409884685,1.5608999845368816,95.8229041344632,-0.09858263454635474,
v1_leaky_archived,original_blended_holdout,2447,0.9947139825718251,0.06507090524511759,0.8503634120198926,0.734360862740459,
