feature,mean_absolute_shap
numeric__gpu_count,0.50893867
numeric__tdp_w,0.23916347
numeric__log_flops,0.23766467
numeric__log_tokens,0.0650964
numeric__log_params,0.05415304
category__train_type_pre-train,0.018476402
category__precision_fp32,0.015256384
category__precision_fp16,0.00417741
numeric__batch_size,0.0036030586
category__train_type_benchmark_training,0.0016582878
category__task_summarization,0.0011956556
category__task_training_benchmark,0.00093577494
category__task_text-generation,0.00091795356
category__task_question-answering,0.0009087298
category__precision_bf16,0.0008837642
category__task_image-classification,0.0008258682
category__train_type_fine-tune,0.00082050974
category__task_translation,0.000676228
