row_id,source,split
7989,synthetic,train
3806,synthetic,train
3787,synthetic,train
10419,synthetic,train
7219,synthetic,train
3977,synthetic,train
877,synthetic,train
8144,synthetic,train
4663,synthetic,train
6088,synthetic,train
8469,synthetic,train
10329,synthetic,train
2912,synthetic,train
6480,synthetic,train
8887,synthetic,train
1005,synthetic,train
3801,synthetic,train
12014,synthetic,train
2264,synthetic,train
7673,synthetic,train
6832,synthetic,train
11725,synthetic,train
3307,synthetic,train
11526,synthetic,train
10885,synthetic,train
1596,synthetic,train
10007,synthetic,train
8079,synthetic,train
5530,synthetic,train
9855,synthetic,train
3355,synthetic,train
5007,synthetic,train
3545,synthetic,train
5538,synthetic,train
7578,synthetic,train
12015,synthetic,train
1573,synthetic,train
4769,synthetic,train
12248,synthetic,train
7405,synthetic,train
3163,synthetic,train
12104,synthetic,train
7293,synthetic,train
3593,synthetic,train
6585,synthetic,train
4244,synthetic,train
4652,synthetic,train
3313,synthetic,train
9668,synthetic,train
1236,synthetic,train
6119,synthetic,train
4962,synthetic,train
913,synthetic,train
9963,synthetic,train
2529,synthetic,train
12242,synthetic,train
8052,synthetic,train
12253,synthetic,train
11901,synthetic,train
7122,synthetic,train
8703,synthetic,train
4359,synthetic,train
9852,synthetic,train
11062,synthetic,train
7412,synthetic,train
871,synthetic,train
4013,synthetic,train
2374,synthetic,train
4944,synthetic,train
10762,synthetic,train
6202,synthetic,train
8659,synthetic,train
3426,synthetic,train
2862,synthetic,train
10480,synthetic,train
771,synthetic,train
8847,synthetic,train
10149,synthetic,train
3275,synthetic,train
7002,synthetic,train
10030,synthetic,train
4362,synthetic,train
12024,synthetic,train
7991,synthetic,train
780,synthetic,train
8656,synthetic,train
5286,synthetic,train
7200,synthetic,train
6413,synthetic,train
7885,synthetic,train
5481,synthetic,train
10876,synthetic,train
7951,synthetic,train
11197,synthetic,train
12149,synthetic,train
5857,synthetic,train
4335,synthetic,train
1369,synthetic,train
11778,synthetic,train
7584,synthetic,train
1298,synthetic,train
4548,synthetic,train
280,synthetic,train
6822,synthetic,train
4934,synthetic,train
9296,synthetic,train
6311,synthetic,train
4915,synthetic,train
1194,synthetic,train
5413,synthetic,train
11095,synthetic,train
7757,synthetic,train
9012,synthetic,train
654,synthetic,train
8510,synthetic,train
6352,synthetic,train
1997,synthetic,train
2425,synthetic,train
821,synthetic,train
3329,synthetic,train
4864,synthetic,train
11319,synthetic,train
9780,synthetic,train
1422,synthetic,train
6447,synthetic,train
8122,synthetic,train
7902,synthetic,train
1989,synthetic,train
1787,synthetic,train
5241,synthetic,train
1102,synthetic,train
3190,synthetic,train
10196,synthetic,train
318,synthetic,train
5558,synthetic,train
3125,synthetic,train
5111,synthetic,train
6812,synthetic,train
2551,synthetic,train
10454,synthetic,train
343,synthetic,train
5549,synthetic,train
8238,synthetic,train
2205,synthetic,train
9560,synthetic,train
1909,synthetic,train
6702,synthetic,train
6698,synthetic,train
2984,synthetic,train
9841,synthetic,train
5798,synthetic,train
674,synthetic,train
7440,synthetic,train
11656,synthetic,train
2710,synthetic,train
12166,synthetic,train
5737,synthetic,train
7480,synthetic,train
6176,synthetic,train
10013,synthetic,train
7032,synthetic,train
4699,synthetic,train
7868,synthetic,train
11665,synthetic,train
3167,synthetic,train
8895,synthetic,train
6867,synthetic,train
3798,synthetic,train
2393,synthetic,train
2157,synthetic,train
7918,synthetic,train
6931,synthetic,train
9090,synthetic,train
4529,synthetic,train
9556,synthetic,train
8502,synthetic,train
8222,synthetic,train
2077,synthetic,train
11972,synthetic,train
2197,synthetic,train
597,synthetic,train
9956,synthetic,train
2595,synthetic,train
8958,synthetic,train
2332,synthetic,train
7173,synthetic,train
1986,synthetic,train
10440,synthetic,train
1307,synthetic,train
5638,synthetic,train
8035,synthetic,train
3075,synthetic,train
12160,synthetic,train
9888,synthetic,train
2580,synthetic,train
7931,synthetic,train
9871,synthetic,train
5131,synthetic,train
3646,synthetic,train
11791,synthetic,train
6330,synthetic,train
1026,synthetic,train
3121,synthetic,train
4042,synthetic,train
5269,synthetic,train
6385,synthetic,train
1404,synthetic,train
10154,synthetic,train
10062,synthetic,train
2770,synthetic,train
6921,synthetic,train
2533,synthetic,train
6188,synthetic,train
5631,synthetic,train
10770,synthetic,train
11378,synthetic,train
8754,synthetic,train
11804,synthetic,train
362,synthetic,train
2249,synthetic,train
4563,synthetic,train
4717,synthetic,train
9613,synthetic,train
1088,synthetic,train
9003,synthetic,train
5046,synthetic,train
1932,synthetic,train
6191,synthetic,train
9345,synthetic,train
7734,synthetic,train
8507,synthetic,train
8179,synthetic,train
3116,synthetic,train
7987,synthetic,train
2068,synthetic,train
7725,synthetic,train
2535,synthetic,train
4021,synthetic,train
8481,synthetic,train
8739,synthetic,train
7881,synthetic,train
5429,synthetic,train
2305,synthetic,train
7458,synthetic,train
7698,synthetic,train
4773,synthetic,train
5861,synthetic,train
1555,synthetic,train
6080,synthetic,train
851,synthetic,train
4484,synthetic,train
481,synthetic,train
8170,synthetic,train
8399,synthetic,train
7353,synthetic,train
6648,synthetic,train
1118,synthetic,train
6530,synthetic,train
6324,synthetic,train
8963,synthetic,train
7006,synthetic,train
1101,synthetic,train
6659,synthetic,train
11527,synthetic,train
5684,synthetic,train
10516,synthetic,train
9521,synthetic,train
3963,synthetic,train
1254,synthetic,train
9624,synthetic,train
6594,synthetic,train
1814,synthetic,train
4931,synthetic,train
9404,synthetic,train
4032,synthetic,train
9489,synthetic,train
11559,synthetic,train
11220,synthetic,train
7304,synthetic,train
3819,synthetic,train
6326,synthetic,train
3108,synthetic,train
6452,synthetic,train
10069,synthetic,train
7070,synthetic,train
2773,synthetic,train
8596,synthetic,train
1723,synthetic,train
10744,synthetic,train
4461,synthetic,train
10529,synthetic,train
6891,synthetic,train
3095,synthetic,train
11342,synthetic,train
8890,synthetic,train
2493,synthetic,train
3310,synthetic,train
11290,synthetic,train
4941,synthetic,train
660,synthetic,train
4120,synthetic,train
11904,synthetic,train
4132,synthetic,train
5141,synthetic,train
5446,synthetic,train
6460,synthetic,train
3064,synthetic,train
7244,synthetic,train
4351,synthetic,train
4868,synthetic,train
1283,synthetic,train
3558,synthetic,train
9795,synthetic,train
8729,synthetic,train
319,synthetic,train
9740,synthetic,train
7899,synthetic,train
6018,synthetic,train
5242,synthetic,train
10100,synthetic,train
1588,synthetic,train
6920,synthetic,train
3611,synthetic,train
12245,synthetic,train
428,synthetic,train
3539,synthetic,train
10483,synthetic,train
5925,synthetic,train
11349,synthetic,train
8026,synthetic,train
1810,synthetic,train
1269,synthetic,train
8750,synthetic,train
2814,synthetic,train
7850,synthetic,train
1872,synthetic,train
2997,synthetic,train
3715,synthetic,train
7883,synthetic,train
10959,synthetic,train
8587,synthetic,train
908,synthetic,train
6321,synthetic,train
3122,synthetic,train
1139,synthetic,train
9580,synthetic,train
4097,synthetic,train
5088,synthetic,train
2563,synthetic,train
6513,synthetic,train
1884,synthetic,train
810,synthetic,train
4208,synthetic,train
7195,synthetic,train
10234,synthetic,train
6960,synthetic,train
4762,synthetic,train
5554,synthetic,train
8458,synthetic,train
471,synthetic,train
10288,synthetic,train
5937,synthetic,train
9882,synthetic,train
3492,synthetic,train
10788,synthetic,train
6645,synthetic,train
3803,synthetic,train
328,synthetic,train
1698,synthetic,train
2775,synthetic,train
3128,synthetic,train
4223,synthetic,train
8430,synthetic,train
6836,synthetic,train
10333,synthetic,train
956,synthetic,train
8985,synthetic,train
4202,synthetic,train
4811,synthetic,train
11990,synthetic,train
10472,synthetic,train
4641,synthetic,train
9313,synthetic,train
1574,synthetic,train
7042,synthetic,train
8681,synthetic,train
5813,synthetic,train
9895,synthetic,train
4239,synthetic,train
5283,synthetic,train
272,synthetic,train
1032,synthetic,train
1078,synthetic,train
11541,synthetic,train
3044,synthetic,train
1606,synthetic,train
10637,synthetic,train
713,synthetic,train
10344,synthetic,train
11885,synthetic,train
1916,synthetic,train
3717,synthetic,train
4505,synthetic,train
11347,synthetic,train
10155,synthetic,train
297,synthetic,train
11381,synthetic,train
5263,synthetic,train
1303,synthetic,train
3168,synthetic,train
6764,synthetic,train
1200,synthetic,train
4580,synthetic,train
7852,synthetic,train
10576,synthetic,train
9508,synthetic,train
5378,synthetic,train
11327,synthetic,train
8355,synthetic,train
7423,synthetic,train
798,synthetic,train
5599,synthetic,train
1413,synthetic,train
1660,synthetic,train
6143,synthetic,train
10947,synthetic,train
290,synthetic,train
11333,synthetic,train
2527,synthetic,train
10650,synthetic,train
8279,synthetic,train
8752,synthetic,train
3937,synthetic,train
2730,synthetic,train
9616,synthetic,train
5816,synthetic,train
5000,synthetic,train
6983,synthetic,train
8924,synthetic,train
